"Council.Name","Area.Name","Year","Measure","Value"
"Aberdeen City","AberCity","2009","Total Population",217020
"Aberdeen City","AberCity","2010","Total Population",219730
"Aberdeen City","AberCity","2011","Total Population",222460
"Aberdeen City","AberCity","2012","Total Population",224910
"Aberdeen City","AberCity","2013","Total Population",227070
"Aberdeen City","AberCity","2014","Total Population",228920
"Aberdeen City","AberCity","2015","Total Population",230350
"Aberdeen City","AberCity","2016","Total Population",229840
"Aberdeen City","AberCity","2017","Total Population",228800
"Aberdeen City","AberCity","2018","Total Population",227560
"Aberdeen City","AberCity","2019","Total Population",227647
"Aberdeen City","AberCity","2020","Total Population",227604
"Aberdeen City","AberCity","2021","Total Population",227655
"Aberdeen City","AberCity","2022","Total Population",227885
"Aberdeen City","AberCity","2023","Total Population",228235
"Aberdeen City","AberCity","2024","Total Population",228592
"Aberdeen City","AberCity","2025","Total Population",228970
"Aberdeen City","AberCity","2026","Total Population",229374
"Aberdeen City","AberCity","2027","Total Population",229783
"Aberdeen City","AberCity","2028","Total Population",230170
"Aberdeen City","AberCity","2029","Total Population",230565
"Aberdeen City","AberCity","2030","Total Population",230927
"Aberdeen City","AberCity","2002","Dependency Ratio",46.2
"Aberdeen City","AberCity","2003","Dependency Ratio",46
"Aberdeen City","AberCity","2004","Dependency Ratio",45.6
"Aberdeen City","AberCity","2005","Dependency Ratio",45
"Aberdeen City","AberCity","2006","Dependency Ratio",44.4
"Aberdeen City","AberCity","2007","Dependency Ratio",43.5
"Aberdeen City","AberCity","2008","Dependency Ratio",43
"Aberdeen City","AberCity","2009","Dependency Ratio",42.1
"Aberdeen City","AberCity","2010","Dependency Ratio",41.4
"Aberdeen City","AberCity","2011","Dependency Ratio",40.8
"Aberdeen City","AberCity","2012","Dependency Ratio",41.6
"Aberdeen City","AberCity","2013","Dependency Ratio",41.7
"Aberdeen City","AberCity","2014","Dependency Ratio",42.1
"Aberdeen City","AberCity","2015","Dependency Ratio",42.1
"Aberdeen City","AberCity","2016","Dependency Ratio",42.9
"Aberdeen City","AberCity","2017","Dependency Ratio",43.9
"Aberdeen City","AberCity","2018","Dependency Ratio",44.8
"Aberdeen City","AberCity","2019","Dependency Ratio",45.3
"Aberdeen City","AberCity","2020","Dependency Ratio",45.9
"Aberdeen City","AberCity","2021","Dependency Ratio",46.5
"Aberdeen City","AberCity","2022","Dependency Ratio",46.9
"Aberdeen City","AberCity","2023","Dependency Ratio",47.2
"Aberdeen City","AberCity","2024","Dependency Ratio",47.4
"Aberdeen City","AberCity","2025","Dependency Ratio",47.6
"Aberdeen City","AberCity","2026","Dependency Ratio",47.7
"Aberdeen City","AberCity","2027","Dependency Ratio",47.8
"Aberdeen City","AberCity","2028","Dependency Ratio",48
"Aberdeen City","AberCity","2029","Dependency Ratio",48
"Aberdeen City","AberCity","2030","Dependency Ratio",48.2
"Aberdeen City","AberCity","2002","Sex Ratio",96.3
"Aberdeen City","AberCity","2003","Sex Ratio",96.5
"Aberdeen City","AberCity","2004","Sex Ratio",96.7
"Aberdeen City","AberCity","2005","Sex Ratio",96.6
"Aberdeen City","AberCity","2006","Sex Ratio",96.9
"Aberdeen City","AberCity","2007","Sex Ratio",97.1
"Aberdeen City","AberCity","2008","Sex Ratio",97.4
"Aberdeen City","AberCity","2009","Sex Ratio",97.7
"Aberdeen City","AberCity","2010","Sex Ratio",97.8
"Aberdeen City","AberCity","2011","Sex Ratio",97.9
"Aberdeen City","AberCity","2012","Sex Ratio",97.9
"Aberdeen City","AberCity","2013","Sex Ratio",98.3
"Aberdeen City","AberCity","2014","Sex Ratio",98.3
"Aberdeen City","AberCity","2015","Sex Ratio",98.7
"Aberdeen City","AberCity","2016","Sex Ratio",98.6
"Aberdeen City","AberCity","2017","Sex Ratio",99
"Aberdeen City","AberCity","2018","Sex Ratio",99.1
"Aberdeen City","AberCity","2019","Sex Ratio",99.3
"Aberdeen City","AberCity","2020","Sex Ratio",99.6
"Aberdeen City","AberCity","2021","Sex Ratio",100
"Aberdeen City","AberCity","2022","Sex Ratio",100.4
"Aberdeen City","AberCity","2023","Sex Ratio",100.7
"Aberdeen City","AberCity","2024","Sex Ratio",101
"Aberdeen City","AberCity","2025","Sex Ratio",101.2
"Aberdeen City","AberCity","2026","Sex Ratio",101.4
"Aberdeen City","AberCity","2027","Sex Ratio",101.5
"Aberdeen City","AberCity","2028","Sex Ratio",101.7
"Aberdeen City","AberCity","2029","Sex Ratio",101.8
"Aberdeen City","AberCity","2030","Sex Ratio",101.9
"Aberdeen City","Airyhal","2002","Life Expectancy - Persons",80
"Aberdeen City","Airyhal","2003","Life Expectancy - Persons",79.5
"Aberdeen City","Airyhal","2004","Life Expectancy - Persons",81.5
"Aberdeen City","Airyhal","2005","Life Expectancy - Persons",79.4
"Aberdeen City","Airyhal","2006","Life Expectancy - Persons",80
"Aberdeen City","Airyhal","2007","Life Expectancy - Persons",79.2
"Aberdeen City","Airyhal","2008","Life Expectancy - Persons",81.2
"Aberdeen City","Airyhal","2009","Life Expectancy - Persons",80.2
"Aberdeen City","Airyhal","2010","Life Expectancy - Persons",81.1
"Aberdeen City","Airyhal","2011","Life Expectancy - Persons",81.1
"Aberdeen City","Airyhal","2012","Life Expectancy - Persons",81.2
"Aberdeen City","Airyhal","2013","Life Expectancy - Persons",81.5
"Aberdeen City","Airyhal","2014","Life Expectancy - Persons",82.5
"Aberdeen City","Airyhal","2015","Life Expectancy - Persons",79.9
"Aberdeen City","Airyhal","2016","Life Expectancy - Persons",80.6
"Aberdeen City","Airyhal","2017","Life Expectancy - Persons",81.6
"Aberdeen City","Airyhal","2018","Life Expectancy - Persons",80.5
"Aberdeen City","Airyhal","2019","Life Expectancy - Persons",81
"Aberdeen City","Airyhal","2020","Life Expectancy - Persons",80.8
"Aberdeen City","Airyhal","2021","Life Expectancy - Persons",81
"Aberdeen City","Airyhal","2022","Life Expectancy - Persons",80.9
"Aberdeen City","Airyhal","2023","Life Expectancy - Persons",81.1
"Aberdeen City","Airyhal","2024","Life Expectancy - Persons",81.2
"Aberdeen City","Airyhal","2025","Life Expectancy - Persons",81.2
"Aberdeen City","Airyhal","2026","Life Expectancy - Persons",81.4
"Aberdeen City","Airyhal","2027","Life Expectancy - Persons",81.4
"Aberdeen City","Airyhal","2028","Life Expectancy - Persons",81.5
"Aberdeen City","Airyhal","2029","Life Expectancy - Persons",81.7
"Aberdeen City","Airyhal","2030","Life Expectancy - Persons",81.7
"Aberdeen City","Airyhal","2002","Natural Change",-67
"Aberdeen City","Airyhal","2003","Natural Change",-61
"Aberdeen City","Airyhal","2004","Natural Change",-35
"Aberdeen City","Airyhal","2005","Natural Change",-26
"Aberdeen City","Airyhal","2006","Natural Change",-13
"Aberdeen City","Airyhal","2007","Natural Change",-22
"Aberdeen City","Airyhal","2008","Natural Change",-23
"Aberdeen City","Airyhal","2009","Natural Change",-17
"Aberdeen City","Airyhal","2010","Natural Change",42
"Aberdeen City","Airyhal","2011","Natural Change",2
"Aberdeen City","Airyhal","2012","Natural Change",-5
"Aberdeen City","Airyhal","2013","Natural Change",-29
"Aberdeen City","Airyhal","2014","Natural Change",-16
"Aberdeen City","Airyhal","2015","Natural Change",-33
"Aberdeen City","Airyhal","2016","Natural Change",-28
"Aberdeen City","Airyhal","2017","Natural Change",-29
"Aberdeen City","Airyhal","2018","Natural Change",-41
"Aberdeen City","Airyhal","2019","Natural Change",-32.8
"Aberdeen City","Airyhal","2020","Natural Change",-35.7
"Aberdeen City","Airyhal","2021","Natural Change",-34
"Aberdeen City","Airyhal","2022","Natural Change",-36.3
"Aberdeen City","Airyhal","2023","Natural Change",-33.8
"Aberdeen City","Airyhal","2024","Natural Change",-33.4
"Aberdeen City","Airyhal","2025","Natural Change",-32.1
"Aberdeen City","Airyhal","2026","Natural Change",-30.2
"Aberdeen City","Airyhal","2027","Natural Change",-28.8
"Aberdeen City","Airyhal","2028","Natural Change",-27.2
"Aberdeen City","Airyhal","2029","Natural Change",-23.6
"Aberdeen City","Airyhal","2030","Natural Change",-24.1
"Aberdeen City","Airyhal","2002","Net Migration",116
"Aberdeen City","Airyhal","2003","Net Migration",-114
"Aberdeen City","Airyhal","2004","Net Migration",-13
"Aberdeen City","Airyhal","2005","Net Migration",103
"Aberdeen City","Airyhal","2006","Net Migration",147
"Aberdeen City","Airyhal","2007","Net Migration",20
"Aberdeen City","Airyhal","2008","Net Migration",38
"Aberdeen City","Airyhal","2009","Net Migration",160
"Aberdeen City","Airyhal","2010","Net Migration",-19
"Aberdeen City","Airyhal","2011","Net Migration",121
"Aberdeen City","Airyhal","2012","Net Migration",284
"Aberdeen City","Airyhal","2013","Net Migration",191
"Aberdeen City","Airyhal","2014","Net Migration",210
"Aberdeen City","Airyhal","2015","Net Migration",127
"Aberdeen City","Airyhal","2016","Net Migration",-9
"Aberdeen City","Airyhal","2017","Net Migration",41
"Aberdeen City","Airyhal","2018","Net Migration",-77
"Aberdeen City","Airyhal","2019","Net Migration",69.5
"Aberdeen City","Airyhal","2020","Net Migration",67.4
"Aberdeen City","Airyhal","2021","Net Migration",75.9
"Aberdeen City","Airyhal","2022","Net Migration",92.1
"Aberdeen City","Airyhal","2023","Net Migration",99.3
"Aberdeen City","Airyhal","2024","Net Migration",101.2
"Aberdeen City","Airyhal","2025","Net Migration",103.3
"Aberdeen City","Airyhal","2026","Net Migration",105.3
"Aberdeen City","Airyhal","2027","Net Migration",106.2
"Aberdeen City","Airyhal","2028","Net Migration",105.8
"Aberdeen City","Airyhal","2029","Net Migration",106.8
"Aberdeen City","Airyhal","2030","Net Migration",107.7
"Aberdeen City","Airyhal","2002","Total Population",15788
"Aberdeen City","Airyhal","2003","Total Population",15613
"Aberdeen City","Airyhal","2004","Total Population",15565
"Aberdeen City","Airyhal","2005","Total Population",15642
"Aberdeen City","Airyhal","2006","Total Population",15776
"Aberdeen City","Airyhal","2007","Total Population",15774
"Aberdeen City","Airyhal","2008","Total Population",15789
"Aberdeen City","Airyhal","2009","Total Population",15932
"Aberdeen City","Airyhal","2010","Total Population",15955
"Aberdeen City","Airyhal","2011","Total Population",16078
"Aberdeen City","Airyhal","2012","Total Population",16357
"Aberdeen City","Airyhal","2013","Total Population",16519
"Aberdeen City","Airyhal","2014","Total Population",16713
"Aberdeen City","Airyhal","2015","Total Population",16807
"Aberdeen City","Airyhal","2016","Total Population",16770
"Aberdeen City","Airyhal","2017","Total Population",16782
"Aberdeen City","Airyhal","2018","Total Population",16664
"Aberdeen City","Airyhal","2019","Total Population",16700.7
"Aberdeen City","Airyhal","2020","Total Population",16732.4
"Aberdeen City","Airyhal","2021","Total Population",16774.2
"Aberdeen City","Airyhal","2022","Total Population",16830.1
"Aberdeen City","Airyhal","2023","Total Population",16895.5
"Aberdeen City","Airyhal","2024","Total Population",16963.3
"Aberdeen City","Airyhal","2025","Total Population",17034.5
"Aberdeen City","Airyhal","2026","Total Population",17109.6
"Aberdeen City","Airyhal","2027","Total Population",17187
"Aberdeen City","Airyhal","2028","Total Population",17265.5
"Aberdeen City","Airyhal","2029","Total Population",17348.7
"Aberdeen City","Airyhal","2030","Total Population",17432.3
"Aberdeen City","Airyhal","2002","Dependency Ratio",57.1
"Aberdeen City","Airyhal","2003","Dependency Ratio",55.2
"Aberdeen City","Airyhal","2004","Dependency Ratio",55.8
"Aberdeen City","Airyhal","2005","Dependency Ratio",55.5
"Aberdeen City","Airyhal","2006","Dependency Ratio",55
"Aberdeen City","Airyhal","2007","Dependency Ratio",53.6
"Aberdeen City","Airyhal","2008","Dependency Ratio",52.1
"Aberdeen City","Airyhal","2009","Dependency Ratio",51.3
"Aberdeen City","Airyhal","2010","Dependency Ratio",51.2
"Aberdeen City","Airyhal","2011","Dependency Ratio",50.2
"Aberdeen City","Airyhal","2012","Dependency Ratio",50.2
"Aberdeen City","Airyhal","2013","Dependency Ratio",49.6
"Aberdeen City","Airyhal","2014","Dependency Ratio",49.5
"Aberdeen City","Airyhal","2015","Dependency Ratio",48.4
"Aberdeen City","Airyhal","2016","Dependency Ratio",48.5
"Aberdeen City","Airyhal","2017","Dependency Ratio",48.9
"Aberdeen City","Airyhal","2018","Dependency Ratio",49.6
"Aberdeen City","Airyhal","2019","Dependency Ratio",49.8
"Aberdeen City","Airyhal","2020","Dependency Ratio",49.8
"Aberdeen City","Airyhal","2021","Dependency Ratio",50.2
"Aberdeen City","Airyhal","2022","Dependency Ratio",49.7
"Aberdeen City","Airyhal","2023","Dependency Ratio",49.9
"Aberdeen City","Airyhal","2024","Dependency Ratio",49.7
"Aberdeen City","Airyhal","2025","Dependency Ratio",49.4
"Aberdeen City","Airyhal","2026","Dependency Ratio",49
"Aberdeen City","Airyhal","2027","Dependency Ratio",48.4
"Aberdeen City","Airyhal","2028","Dependency Ratio",48.2
"Aberdeen City","Airyhal","2029","Dependency Ratio",48.1
"Aberdeen City","Airyhal","2030","Dependency Ratio",47.9
"Aberdeen City","Airyhal","2002","Sex Ratio",93.4
"Aberdeen City","Airyhal","2003","Sex Ratio",93.7
"Aberdeen City","Airyhal","2004","Sex Ratio",94.4
"Aberdeen City","Airyhal","2005","Sex Ratio",93
"Aberdeen City","Airyhal","2006","Sex Ratio",92.1
"Aberdeen City","Airyhal","2007","Sex Ratio",92
"Aberdeen City","Airyhal","2008","Sex Ratio",93.3
"Aberdeen City","Airyhal","2009","Sex Ratio",92.8
"Aberdeen City","Airyhal","2010","Sex Ratio",94.3
"Aberdeen City","Airyhal","2011","Sex Ratio",93.6
"Aberdeen City","Airyhal","2012","Sex Ratio",93.3
"Aberdeen City","Airyhal","2013","Sex Ratio",93.6
"Aberdeen City","Airyhal","2014","Sex Ratio",94.7
"Aberdeen City","Airyhal","2015","Sex Ratio",94.3
"Aberdeen City","Airyhal","2016","Sex Ratio",93.9
"Aberdeen City","Airyhal","2017","Sex Ratio",94.2
"Aberdeen City","Airyhal","2018","Sex Ratio",93.9
"Aberdeen City","Airyhal","2019","Sex Ratio",94.4
"Aberdeen City","Airyhal","2020","Sex Ratio",95.1
"Aberdeen City","Airyhal","2021","Sex Ratio",95.7
"Aberdeen City","Airyhal","2022","Sex Ratio",96.4
"Aberdeen City","Airyhal","2023","Sex Ratio",97
"Aberdeen City","Airyhal","2024","Sex Ratio",97.6
"Aberdeen City","Airyhal","2025","Sex Ratio",98.1
"Aberdeen City","Airyhal","2026","Sex Ratio",98.5
"Aberdeen City","Airyhal","2027","Sex Ratio",99
"Aberdeen City","Airyhal","2028","Sex Ratio",99.4
"Aberdeen City","Airyhal","2029","Sex Ratio",99.8
"Aberdeen City","Airyhal","2030","Sex Ratio",100.2
"Aberdeen City","BrdgeDon","2002","Life Expectancy - Persons",77.3
"Aberdeen City","BrdgeDon","2003","Life Expectancy - Persons",82.1
"Aberdeen City","BrdgeDon","2004","Life Expectancy - Persons",79.8
"Aberdeen City","BrdgeDon","2005","Life Expectancy - Persons",79.1
"Aberdeen City","BrdgeDon","2006","Life Expectancy - Persons",80.5
"Aberdeen City","BrdgeDon","2007","Life Expectancy - Persons",83.1
"Aberdeen City","BrdgeDon","2008","Life Expectancy - Persons",82
"Aberdeen City","BrdgeDon","2009","Life Expectancy - Persons",79.2
"Aberdeen City","BrdgeDon","2010","Life Expectancy - Persons",81.2
"Aberdeen City","BrdgeDon","2011","Life Expectancy - Persons",82.1
"Aberdeen City","BrdgeDon","2012","Life Expectancy - Persons",81.7
"Aberdeen City","BrdgeDon","2013","Life Expectancy - Persons",82.5
"Aberdeen City","BrdgeDon","2014","Life Expectancy - Persons",81.1
"Aberdeen City","BrdgeDon","2015","Life Expectancy - Persons",79.9
"Aberdeen City","BrdgeDon","2016","Life Expectancy - Persons",80.8
"Aberdeen City","BrdgeDon","2017","Life Expectancy - Persons",82.8
"Aberdeen City","BrdgeDon","2018","Life Expectancy - Persons",81.2
"Aberdeen City","BrdgeDon","2019","Life Expectancy - Persons",80.8
"Aberdeen City","BrdgeDon","2020","Life Expectancy - Persons",80.6
"Aberdeen City","BrdgeDon","2021","Life Expectancy - Persons",80.8
"Aberdeen City","BrdgeDon","2022","Life Expectancy - Persons",80.7
"Aberdeen City","BrdgeDon","2023","Life Expectancy - Persons",80.9
"Aberdeen City","BrdgeDon","2024","Life Expectancy - Persons",81
"Aberdeen City","BrdgeDon","2025","Life Expectancy - Persons",81.1
"Aberdeen City","BrdgeDon","2026","Life Expectancy - Persons",81.2
"Aberdeen City","BrdgeDon","2027","Life Expectancy - Persons",81.3
"Aberdeen City","BrdgeDon","2028","Life Expectancy - Persons",81.4
"Aberdeen City","BrdgeDon","2029","Life Expectancy - Persons",81.6
"Aberdeen City","BrdgeDon","2030","Life Expectancy - Persons",81.6
"Aberdeen City","BrdgeDon","2002","Natural Change",72
"Aberdeen City","BrdgeDon","2003","Natural Change",89
"Aberdeen City","BrdgeDon","2004","Natural Change",80
"Aberdeen City","BrdgeDon","2005","Natural Change",35
"Aberdeen City","BrdgeDon","2006","Natural Change",58
"Aberdeen City","BrdgeDon","2007","Natural Change",93
"Aberdeen City","BrdgeDon","2008","Natural Change",78
"Aberdeen City","BrdgeDon","2009","Natural Change",41
"Aberdeen City","BrdgeDon","2010","Natural Change",31
"Aberdeen City","BrdgeDon","2011","Natural Change",47
"Aberdeen City","BrdgeDon","2012","Natural Change",42
"Aberdeen City","BrdgeDon","2013","Natural Change",43
"Aberdeen City","BrdgeDon","2014","Natural Change",57
"Aberdeen City","BrdgeDon","2015","Natural Change",21
"Aberdeen City","BrdgeDon","2016","Natural Change",33
"Aberdeen City","BrdgeDon","2017","Natural Change",61
"Aberdeen City","BrdgeDon","2018","Natural Change",26
"Aberdeen City","BrdgeDon","2019","Natural Change",26.2
"Aberdeen City","BrdgeDon","2020","Natural Change",17.7
"Aberdeen City","BrdgeDon","2021","Natural Change",12.4
"Aberdeen City","BrdgeDon","2022","Natural Change",3.2
"Aberdeen City","BrdgeDon","2023","Natural Change",-1.5
"Aberdeen City","BrdgeDon","2024","Natural Change",-9.1
"Aberdeen City","BrdgeDon","2025","Natural Change",-16
"Aberdeen City","BrdgeDon","2026","Natural Change",-21.9
"Aberdeen City","BrdgeDon","2027","Natural Change",-28.3
"Aberdeen City","BrdgeDon","2028","Natural Change",-34.2
"Aberdeen City","BrdgeDon","2029","Natural Change",-38.3
"Aberdeen City","BrdgeDon","2030","Natural Change",-45.8
"Aberdeen City","BrdgeDon","2002","Net Migration",-257
"Aberdeen City","BrdgeDon","2003","Net Migration",-427
"Aberdeen City","BrdgeDon","2004","Net Migration",-337
"Aberdeen City","BrdgeDon","2005","Net Migration",-50
"Aberdeen City","BrdgeDon","2006","Net Migration",-117
"Aberdeen City","BrdgeDon","2007","Net Migration",-121
"Aberdeen City","BrdgeDon","2008","Net Migration",-16
"Aberdeen City","BrdgeDon","2009","Net Migration",-146
"Aberdeen City","BrdgeDon","2010","Net Migration",-191
"Aberdeen City","BrdgeDon","2011","Net Migration",-226
"Aberdeen City","BrdgeDon","2012","Net Migration",-121
"Aberdeen City","BrdgeDon","2013","Net Migration",77
"Aberdeen City","BrdgeDon","2014","Net Migration",115
"Aberdeen City","BrdgeDon","2015","Net Migration",134
"Aberdeen City","BrdgeDon","2016","Net Migration",216
"Aberdeen City","BrdgeDon","2017","Net Migration",-24
"Aberdeen City","BrdgeDon","2018","Net Migration",60
"Aberdeen City","BrdgeDon","2019","Net Migration",103.8
"Aberdeen City","BrdgeDon","2020","Net Migration",101.7
"Aberdeen City","BrdgeDon","2021","Net Migration",108.4
"Aberdeen City","BrdgeDon","2022","Net Migration",126.5
"Aberdeen City","BrdgeDon","2023","Net Migration",132.7
"Aberdeen City","BrdgeDon","2024","Net Migration",135.1
"Aberdeen City","BrdgeDon","2025","Net Migration",138
"Aberdeen City","BrdgeDon","2026","Net Migration",141.8
"Aberdeen City","BrdgeDon","2027","Net Migration",143.2
"Aberdeen City","BrdgeDon","2028","Net Migration",141.9
"Aberdeen City","BrdgeDon","2029","Net Migration",142.8
"Aberdeen City","BrdgeDon","2030","Net Migration",143.4
"Aberdeen City","BrdgeDon","2002","Total Population",19551
"Aberdeen City","BrdgeDon","2003","Total Population",19213
"Aberdeen City","BrdgeDon","2004","Total Population",18956
"Aberdeen City","BrdgeDon","2005","Total Population",18941
"Aberdeen City","BrdgeDon","2006","Total Population",18882
"Aberdeen City","BrdgeDon","2007","Total Population",18854
"Aberdeen City","BrdgeDon","2008","Total Population",18916
"Aberdeen City","BrdgeDon","2009","Total Population",18811
"Aberdeen City","BrdgeDon","2010","Total Population",18651
"Aberdeen City","BrdgeDon","2011","Total Population",18472
"Aberdeen City","BrdgeDon","2012","Total Population",18393
"Aberdeen City","BrdgeDon","2013","Total Population",18513
"Aberdeen City","BrdgeDon","2014","Total Population",18685
"Aberdeen City","BrdgeDon","2015","Total Population",18840
"Aberdeen City","BrdgeDon","2016","Total Population",19089
"Aberdeen City","BrdgeDon","2017","Total Population",19126
"Aberdeen City","BrdgeDon","2018","Total Population",19212
"Aberdeen City","BrdgeDon","2019","Total Population",19342
"Aberdeen City","BrdgeDon","2020","Total Population",19461.4
"Aberdeen City","BrdgeDon","2021","Total Population",19582.2
"Aberdeen City","BrdgeDon","2022","Total Population",19711.9
"Aberdeen City","BrdgeDon","2023","Total Population",19843.1
"Aberdeen City","BrdgeDon","2024","Total Population",19969.2
"Aberdeen City","BrdgeDon","2025","Total Population",20091.2
"Aberdeen City","BrdgeDon","2026","Total Population",20211.1
"Aberdeen City","BrdgeDon","2027","Total Population",20326
"Aberdeen City","BrdgeDon","2028","Total Population",20433.7
"Aberdeen City","BrdgeDon","2029","Total Population",20538.2
"Aberdeen City","BrdgeDon","2030","Total Population",20635.8
"Aberdeen City","BrdgeDon","2002","Dependency Ratio",41.8
"Aberdeen City","BrdgeDon","2003","Dependency Ratio",41.9
"Aberdeen City","BrdgeDon","2004","Dependency Ratio",41.7
"Aberdeen City","BrdgeDon","2005","Dependency Ratio",41.6
"Aberdeen City","BrdgeDon","2006","Dependency Ratio",41.6
"Aberdeen City","BrdgeDon","2007","Dependency Ratio",41.4
"Aberdeen City","BrdgeDon","2008","Dependency Ratio",42.5
"Aberdeen City","BrdgeDon","2009","Dependency Ratio",42.4
"Aberdeen City","BrdgeDon","2010","Dependency Ratio",42.7
"Aberdeen City","BrdgeDon","2011","Dependency Ratio",43.7
"Aberdeen City","BrdgeDon","2012","Dependency Ratio",45.9
"Aberdeen City","BrdgeDon","2013","Dependency Ratio",47.2
"Aberdeen City","BrdgeDon","2014","Dependency Ratio",48.9
